name,review,rating,sentiment
Stop Pacifier Sucking without tears with Thumbuddy To Love's Binky Fairy Puppet and Adorable Book,"All of my kids have cried non-stop when I tried to ween them off their pacifier, until I found Thumbuddy To Love's Binky Fairy Puppet.  It is an easy way to work with your kids to allow them to understand where their pacifier is going and help them part from it.This is a must buy book, and a great gift for expecting parents!!  You will save them soo many headaches.Thanks for this book!  You all rock!!",5,1
Nature's Lullabies Second Year Sticker Calendar,We wanted to get something to keep track of our child's milestones and this is a cute option. There aren't many other choices out there and this does exactly what we wanted.,5,1
Nature's Lullabies Second Year Sticker Calendar,My daughter had her 1st baby over a year ago. She did receive and fill up a First Year Calendar. When her son was nearing his first birthday she was looking for a Second Year Calendar to record his milestones. Thanks to Amazon I was able to get this for her and she LOVES it. Tender sweet art work - helpful stickers - unique pages to fill. A nice keepsake. A wonderful gift for a one-year old!,5,1
"Lamaze Peekaboo, I Love You","One of baby's first and favorite books, and it is washable! I gave 1 less star than perfect because I'd like to see some diversity in the people - not just your typical white family ;)",4,1
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,Very cute interactive book! My son loves this book! The bright colorful illustrations make this great for babies & toddlers.,5,1
Our Baby Girl Memory Book,"Beautiful book, I love it to record cherished times in my great granddaughters life with the beautiful pastel pink color.",5,1
Hunnt&reg; Falling Flowers and Birds Kids Nursery Home Decor Vinyl Mural Art Wall Paper Stickers,"Try this out for a spring project !Easy ,fun and affordable wall decals ...Fine quality and brightens up any room.. 5+ **********",5,1
Blessed By Pope Benedict XVI Divine Mercy Full Color Medal,very nice Divine Mercy Pendant of Jesus now on chain around my neck.  Love It!  Divine Mercy represents Jesuswho offers us an ocean of divine mercy.  Pray to God for our country. You need HIM in your lives!,5,1
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),We bought the pins as my 6 year old Autistic son was able to open or break open normal safety pins we needed to use for his night time clothes.  These new pins are significantly more sturdy and he hasn't learned how to open them and only once has he broken one open.  I seem to recall that their shipping price was more than a bit on the high side of reasonable though given the size of the package...,4,1
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"It has been many years since we needed diaper pins, but I do like to pin my socks together through the wash and have never lost one yet. I was using brass dressmaker pins but they tended to open up during the wash cycle. My wife suggested diaper pins and we tried them. Thery're working perfectly and staying together through the washing. Matter of fact they can get a little tricky to open, but of course that was the idea. Recommended to keep your socks &#34;friended up&#34;.",5,1
