id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
12506241,14518376,15000,15000,15000, 60 months,19.99,397.33,E,E1,Data Analyst,3 years,MORTGAGE,45000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12506241,,medical,Medical expenses,762xx,TX,8.4,0,19961201T000000,0,68,53,6,1,6554,26,23,f,0,0,15280.7,15280.7,15000,280.71,0,0,0,20140701T000000,236.05,,20150201T000000,0,50,1,0,Fully Paid,1,0,4,2,0.2,1,0,1,0,10.5955,20190201T000000,0,0,0
12526197,14538333,21625,21625,21575, 36 months,14.16,740.78,C,C2,Fitness Manager,10+ years,RENT,51648,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12526197,,debt_consolidation,Debt consolidation,796xx,TX,17.87,1,19941201T000000,0,10,,8,0,10735,78.9,24,f,0,0,23068.7,23015.4,21625,1443.73,0,0,0,20140901T000000,19364.8,,20140901T000000,0,,1,0,Fully Paid,1,0,11,4,0.4,0,1,1,0,17.2114,20170201T000000,0,1,1
12516307,14528450,27200,27200,27200, 60 months,21.18,738.61,E,E3,ASSISTANT SERVICE MANAGER/ADVISOR,10+ years,MORTGAGE,62000,Source Verified,20140201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12516307,,debt_consolidation,Debt consolidation,304xx,GA,16.49,0,19970901T000000,0,,,7,0,19911,89.7,20,w,0,0,4431.66,4431.66,1621.26,2810.4,0,0,0,20140901T000000,738.61,,20150101T000000,0,,1,0,Charged Off,1,1,11,2,0.6,1,1,1,0,14.2957,20190201T000000,1,1,1
12506317,14518448,15000,15000,15000, 60 months,16.59,369.49,D,D1,Senior Financial Specialist,7 years,RENT,47424,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12506317,"  Borrower added on 02/26/14 > I accumulated some higher interest debt, I'm trying to reduce the amount I pay each month.<br>",debt_consolidation,Debt consolidation,544xx,WI,13.34,0,20041201T000000,3,,,12,0,11160,39.2,24,w,0,0,15652.2,15652.2,15000,652.22,0,0,0,20140801T000000,1174.26,,20140801T000000,0,,1,0,Fully Paid,1,0,8,3,0.2,1,1,1,0,9.34944,20190201T000000,1,1,1
12396114,14408260,31100,31100,31100, 36 months,19.99,1155.63,E,E1,Readiness NCO,10+ years,MORTGAGE,82000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12396114,  Borrower added on 02/26/14 > I am requesting this loan in order to consolidate my debts. I will pay off several bills and this will allow me to build my credit score.<br>,debt_consolidation,Debt consolidation,305xx,GA,19.39,0,19931201T000000,1,42,35,12,1,24539,88.6,31,w,0,0,33107.9,33107.9,31100,2007.87,0,0,0,20140701T000000,29641,,20150201T000000,0,42,1,0,Fully Paid,1,0,11,2,0.2,1,0,1,0,16.9117,20170201T000000,0,0,0
12406210,14418354,15000,15000,15000, 36 months,10.99,491.01,B,B2,System Administrator 3,10+ years,MORTGAGE,145000,Source Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12406210,,credit_card,Credit card refinancing,770xx,TX,14.27,0,19971001T000000,0,26,,11,0,31264,87.8,34,w,0,0,15892.6,15892.6,15000,892.56,0,0,0,20141001T000000,12946.5,,20141101T000000,0,,1,0,Fully Paid,1,0,11,5,0.4,1,1,1,0,4.06353,20170201T000000,0,1,1
12436110,14448257,15000,15000,15000, 36 months,12.49,501.74,B,B4,Online Editor,< 1 year,RENT,65000,Verified,20140301T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12436110,"  Borrower added on 02/26/14 > Pay off a current Lending Club Loan, in addition to consolidating other credit cards with high % interest.<br>",debt_consolidation,Debt consolidation,900xx,CA,14.9,0,19980701T000000,1,,,13,0,13052,53.7,27,f,0,0,16642.2,16642.2,15000,1642.24,0,0,0,20150201T000000,11020.1,,20150201T000000,0,,1,0,Fully Paid,1,0,1,5,0.8,1,1,1,1,9.26289,20170301T000000,1,1,1
12396121,14408267,15000,15000,14950, 36 months,12.49,501.74,B,B4,Sales Executive,2 years,RENT,86000,Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12396121,,debt_consolidation,Debt consolidation,373xx,TN,10.72,0,19950201T000000,0,24,,14,0,4064,19.5,51,f,0,0,16589.5,16534.2,15000,1589.51,0,0,0,20150201T000000,11572.1,,20150201T000000,0,24,1,0,Fully Paid,1,0,3,5,0.8,1,1,1,0,7.00102,20170201T000000,0,1,0
12436271,14448415,4000,4000,4000, 36 months,12.49,133.8,B,B4,,n/a,MORTGAGE,76400,Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12436271,,credit_card,Credit card refinancing,993xx,WA,28.46,0,20010501T000000,1,,110,7,1,4903,29,22,w,0,0,4188.02,4188.02,4000,188.02,0,0,0,20140801T000000,3154.22,,20140801T000000,0,,1,0,Fully Paid,1,0,0,5,0.8,1,0,1,1,2.10157,20170201T000000,1,0,1
12406254,14418395,12000,12000,12000, 36 months,15.61,419.58,C,C5,UAT Test Lead,6 years,RENT,52000,Not Verified,20140201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12406254,  Borrower added on 02/26/14 > Trying to get myself back on track after multiple major issues over the past 10 years. Trying to get re-set financially and help my 17 year old daughter as she completes her Marine Corps training in March and my son as he embarks on his senior year of high school. Thank you for your consideration.<br>,debt_consolidation,Debt consolidation,402xx,KY,29.47,0,19980301T000000,0,,49,10,1,13833,74,36,f,0,0,13019.1,13019.1,12000,1019.14,0,0,0,20141001T000000,10501.7,,20150101T000000,0,45,1,0,Fully Paid,1,0,7,4,1,1,0,1,0,9.68262,20170201T000000,1,0,0
