URI,name,text
<http://dbpedia.org/resource/Choc\'late_Allen>,Choc\'late Allen,choclate allen born june 19 1993 is a child activist who arose to national awareness in early 2007 by engaging in a 5day fast in an effort to promote the concept of taking personal responsibility for our individual thoughts and actions in order to treat with social issues plaguing trinidad and tobago during such activity the young ceo of caribbean vizion a nonprofit youth organization received visits from many citizens and dignitaries including then opposition leader kamla persadbissessar and then prime minister patrick manningwith the various school motivational school tours and projects that allen has embarked on during the 100 crime free initiative she is committed to her programmes and always sticking to her vision of creating a peaceful society by us accepting personal responsibility for our actions allen also formed youth committees of young persons under the age of 17 who have the same goal of making a positive impact on youths and society and who are interested in being effective future leadersin 2008 allen launched her singing career and 2008initiative at the 15th annual rebel salute concert in jamaica rebel salute is a positive reggae concert held and formed by the legendary tony rebel and flames productions the concert is one of no alcohol no violence no meat and no drugs following this major event allen was then invited by mrs rita marley to be the cochair of the africa unite youth symposium and also to perform at the africa unitesmile jamaica concert the concert featured acts like bunny wailer john legend rihanna ziggy marley and the melody makers the marley brothers and other local and international artiste allen wowed these audiences with her voice presence rendition melodic original songs and positive lyricsrecently in addition to the continuation of her taking personal responsibility movement as an activist she has been visiting several schools in jamaica with the support of many un agencies and other organizations as an artiste choclate collaborated with reggae artiste queen ifrica in a song titled friends which covers both the child and adult vision of friendship the two performed the song at the first international night of the reggae summer festival and according to all reviews of the show the collaboration was well received and very touching
<http://dbpedia.org/resource/Nikki_Walker>,Nikki Walker,nikki walker born 5 march 1982 in aberdeen is a scotland international rugby union rugby player who plays on the wing he has had a successful career in scotland wales and england winning the robodirect pro 12 twicehe was part of the hawick team than won the domestic club double in 20012 he then joined the border reivers in 2002 his form earning him his first cap and first tries for scotland in the same yearin 2006 he left scotland for the ospreys based in swansea wales this would prove to be a very successful period playing a key role in the ospreys winning the rabodirect pro 12 in 2006 and 2010 and earning him a recall to the national sidehe made his first appearance for scotland in over 4 years as a replacement against wales in the six nations 2007 he also started for scotland against france 4 weeks later and scored a try in the 7th minutehe then scored his next try against canada in the 2009 autumn test in aberdeen repeating this again this time against samoa in the 2010 autumn test he then scored his first murryfield try for 4 years against italy in the 2011 6 nations match which scotland went on to win giving italy the wooden spoonhe was 5 minutes away to be going to the 2011 rugby world cup when he got injured in the warmup match with italyin may 2012 he left the ospreys to join worcester warriors after 10 months with worcester warriors walker is joining edinburgh rugby in the summer of 2013
<http://dbpedia.org/resource/Philip_Haas>,Philip Haas,philip haas born 1954 is an american artist screenwriter and filmmaker perhaps best known for his 2012 sculpture exhibition the four seasons and his 1995 film angels and insectshe began his career as a documentary film maker directing ten profiles of unusual artists through early 1990s with the theme magicians of the earth commissioned by the centre georges pompidouhis feature films include angels and insects set in victorian england which was nominated for an academy award and the cannes film festival palme dor up at the villa an adaptation of the w somerset maugham novella starring sean penn anne bancroft and kristin scott thomas the situation a political thriller set in iraq released in 2006 and the highly regarded the music of chance 1993in 2008 the sonnabend gallery of new york featured a film installation called the butchers shop commissioned by the kimbell art museum in which haas recreated the space depicted in annibale carraccis 1582 painting of the same name in 2010 he expanded this series to include works by ensor and tiepolo his exhibition of film installations at the kimbell art museum butchers dragons gods and skeletons was listed by time magazine as one of the top ten museum shows of 2009retrospectives of his art films have been held at the tate gallery in london the centre georges pompidou in paris lincoln center in new york the museum of fine arts boston and the national gallery of art in washington dc he received a guggenheim fellowship for this body of work he has taught in the visual arts program at princeton university in 2008 and 2010 he had oneman shows of paintings and film installations at the sonnabend gallery in new york city haass monumental fiberglass sculpture winter after arcimboldo was unveiled in the national gallery of art in washington dc in september 2010 before traveling in 2011 to the piazza del duomo in milan and the garden of versailles in 2012 in a spectacular transformation that is typical of his work haas created a group of largescale fifteenfoothigh fibreglass sculptures inspired by giuseppe arcimboldos renaissance paintings of the four seasons comprising spring summer autumn and including winter the colossal size of haass sculpture accentuates the visual puzzle of natural formsflowers ivy moss fungi vegetables fruit trees bark branches twigs leavesas they are recycled to form four human portraits each representing an individual season the result is at once earthy fanciful and exuberanta commentary on arcimboldos style and a work of art in its own right these sculptures were first seen in the garden of the dulwich picture gallery 1 in the united kingdom in the summer of 2012 before embarking on a threeyear tour of american museums and botanical gardens
<http://dbpedia.org/resource/Kevin_Rubio>,Kevin Rubio,kevin rubio born december 20 1967 is an american filmmaker best known for his star wars parody film troopsrubio studied theater and photography throughout his high school years in california and made his directorial debut at the age of 17 with a stage adaptation of robert redfords ordinary people he spent the next two years directing musical theater in such productions as youre a good man charlie brown and joseph and the amazing technicolor dream coat earning several awards for these productions from 1984 1988 he apprenticed in the field of lighting set design and directing under george costa director of the san jose civic light opera housein 1988 rubio attended long beach state university with a major in film he almost graduated in 1991 and spent the next three years doing various production jobsin 1992 rubio wrote and directed reanimation an animated frankenstein short that attracted the attention of the fox kids network based on the strength of the short rubio was hired to design animated characters for their saturday morning lineup and eventually headed up their cel animation art departmentin 1996 rubio produced his first feature film the lowbudget movies til dawn but his biggest success to date came in 1997 with the internet release of troops a star warscops parody that has been credited with starting the internet short film craze the film was later recognized by lucasfilm with the pioneer award at the 2002 official star wars fan film awardskevin has made a living since as a freelance writer and awardwinning promotion producer and has written comic books for dark horses successful star wars tales line in 2001 lucasfilm asked rubio to create a twopart original comedic story for the star wars comic line and he delivered tag and bink are dead which has gone on to critical and financial success his compilation trade paperback tag and bink were here was named one of the top trade paperback books of 2006 by the american library associationhis list of writerdirector credits includes a pilot presentation for the scifi channel alien hunter a sort of crocodile hunter in space colossor a pilot for mtv action man for fox kids and storm watch a pilot for the usa networkin 2006 kevin rubio was inducted into the 501st legion as an honorary member during the 501st dinner at comic con international in san diegoin 2007 kevin rubio was contracted by g4 to help integrate attack of the show with an online webcam from the site stickam he can be seen on the aots webcam talking to fanskevin lives in los angeles and is working on his series abyss for red 5 comics as well as working on the star wars the clone wars television series and other projects for television and film
<http://dbpedia.org/resource/Fran%C3%A7ois-Xavier_Roth>,Fran%C3%A7ois-Xavier Roth,franoisxavier roth born 6 november 1971 paris is a french conductor his father is the organist daniel roth his brother vincent roth is a violist before turning to conducting franois was a flautist roth graduated from the conservatoire national suprieur de musique where his teachers included alain marion and jnos frstin 2000 roth won the donatella flick conducting competition which led to a 2year appointment as assistant conductor of the london symphony orchestra he has also served as an assistant conductor to john eliot gardiner in 2003 he founded les sicles an orchestra which performs on instruments appropriate to the period of composition of each piece with les sicles he has given concerts in france italy germany england and japan to mark the centenary of the rite of spring in 2013 the orchestra performed the work on period instruments at the bbc proms and the alte oper frankfurt roth and les sicles have devised their own television series for france 2 entitled presto which ran for 3 years and garnered audiences of over three million viewersroth was associate guest conductor of the bbc national orchestra of wales bbc now from 2008 to 2012 he was music director of the orchestre philharmonique de lige opl for the 20092010 season in september 2011 roth became principal conductor of the swr sinfonieorchester badenbaden und freiburg in february 2014 the orchestra announced the extension of xavierroths swr orchestra contract through the 20152016 season after which the orchestra is scheduled to be dissolved and merged with the stuttgart radio symphony orchestra in the same month february 2014 the city of cologne announced the appointment of roth as its next generalmusikdirektor gmd which includes duties as grzenichkapellmeister and chief conductor of the cologne opera the appointment of roth is effective on 1 september 2015 with an initial contract of 5 years
<http://dbpedia.org/resource/Jack_Morava>,Jack Morava,jack johnson morava is an american homotopy theoristof czech and appalachian descent he was raised in texas lower rio grande valley an early interest in topology was strongly encouraged by his parents he enrolled at rice university in 1962 as a physics major but with the help of jim douglas entered the graduate mathematics program in 1964 his advisor eldon dyer arranged with the support of michael atiyah a oneyear fellowship at the university of oxford followed by a year in princeton at the institute for advanced studymorava brought ideas from arithmetic geometry into the realm of algebraic topology under atiyahs tutelage morava concentrated on the relation between ktheory and cobordism and when daniel quillens work on that subject appeared he saw that ideas of sergei novikov implied close connections between the stable homotopy category and the derived category of quasicoherent sheaves on the moduli stack of onedimensional formal groups in particular that the category of spectra is naturally stratified by height using work of dennis sullivan he focused attention on certain ringspectra parametrized by onedimensional formal group laws over a field which generalize classical topological ktheory from a modern point of view ie since michael j hopkins smith and devinatzs proof of douglas ravenels nilpotence conjecture it is natural to think of these cohomology theories as the geometric points associated to the prime ideals of the stable homotopy category their groups of multiplicative automorphisms are essentially the units in certain padic division algebras and thus have deep connections to local class field theoryin 1970 he and the linguistic anthropologist ellen lee contini married they have two children aili and michael they spent a year at the steklov institute of mathematics in moscow on a us national academy of sciences fellowship where he was influenced by contact with vladimir arnold israel gelfand yuri i manin and novikov he joined the johns hopkins university faculty in 1979 and was involved in organizing the japanus mathematics institute there much of his later work involves the application of cobordism categories to mathematical physics as well as tannakian descent theory in homotopy categories posted mostly on the arxiv from roughly 2006 to 2010 he was active in darpas fundamental questions of biology1 initiative
<http://dbpedia.org/resource/Vera_Byers>,Vera Byers,vera steinberger byers is a phd immunologist who currently practices as a consultant in incline village nevada and was formerly a professor at the university of california san francisco before changing affiliations to university of nottingham where she helped conduct research on tumor immunology later moving on to immunodermatology while at ucsf she helped develop a monoclonal antibody for use as an anticancer treatment specifically against osteogenic sarcoma though it was originally used against graftversushost disease while at the university of nottingham she published some papers on the regulation of the immune response to urushiol in poison ivypoison oak also using a monoclonal antibody her work as a medical toxicologist pertaining to trichloroethylene features in the book a civil action according to her testimony in the autism omnibus trial she spent three years working at immunex where she worked on the antiarthritis drug enbrel however the special master in these proceedings wrote there was no record at the fda of dr byers playing in any role in the enbrel licensing application to which byers responded that the information did not make a difference the special master also wrote byers insistence that it was acceptable to use adult norms to measure the immune function of infants and young children was frankly incredible her testimony in this trial pertained to the alleged mechanism by which the measles virus from the mmr vaccine in combination with thimerosal caused michelle cedillo to suffer from a dysregulated immune system dr byers formerly served on the editorial board of the journal cancer immunology immunotherapy and has published some research in this journal
<http://dbpedia.org/resource/Ken_Bowersox>,Ken Bowersox,kenneth dwane sox bowersox born november 14 1956 is a united states navy officer and a former nasa astronaut he is a veteran of five space shuttle missions and an extended stay aboard the international space stationbowersox was born in portsmouth virginia but considers bedford indiana his home town as a young boy his family lived in oxnard california for seven years and he attended rio real elementary bowersox is an eagle scout and earned a degree in aerospace engineering from the united states naval academy before receiving his commission in 1978 he attended the us air force test pilot school and graduated with class 85a he served as a test pilot on a7e and fa18 aircraft and was selected as an astronaut candidate in 1987 bowersox holds the rank of captain in the united states navy bowersox first flew as a pilot on the space shuttle missions sts50 and sts61 he commanded missions sts73 a microgravity research mission and sts82 a hubble space telescope repair mission he then launched on sts113 with don pettit and nikolai budarin for an extended stay aboard the iss as the commander of iss expedition 6 in 2002 and 2003 returning aboard soyuz tma1 rather than the space shuttle as a result of the fleets grounding following the space shuttle columbia disaster which occurred during bowersoxs tour aboard the stationbowersox retired from nasa on september 30 2006 on june 16 2009 he was appointed vice president of astronaut safety and mission assurance at spacex he was inducted into the astronaut hall of fame on june 8 2010 four days after the first successful launch of spacexs falcon 9 rocketit was reported on january 17 2012 that bowersox resigned from spacex in late december 2011 bowersox appeared on three episodes of the american tv show home improvement
<http://dbpedia.org/resource/Alexander_Tchayka>,Alexander Tchayka,alexander tchayka born 23 july 1974 in sumy ukraine is a ukrainian spree killer responsible for the murders of four women in moscow between january 31 1994 and february 16 1994in 1989 tchayka was arrested and convicted for raping a young girl he was released in 1991 for excellent behavioron january 30 1994 18yearold tchayka committed his first murder when he stabbed a young woman 21 times only the victims son could identify his mother the second victim was on february 7 1994 tchayka stabbed her eight times with a knife and stole her handbag and gold ring on february 9 1994 tchayka stabbed a fiftyyearold woman and stole her gold ring on february 16 1994 tchayka murdered his last victim after the four murders the police set out to catch the spree killer and the only information they had was that the suspect wore black clothing a few days later a detective working on the case saw a young man in the metro who was wearing a black jacket grayblack pants and carrying a black bag the detective thought the man appeared suspicious and followed him hours later the detective arrested the suspect because of his suspicious behavior and clothing after his arrest tchayka confessed to the murders he was sentenced to death but was not executed because of moratorium for death punishment in russia
<http://dbpedia.org/resource/Doug_Sandom>,Doug Sandom,douglas sandom often misspelled sanden born 26 february 1930 is a british drummer who was the original drummer for the english rock band the who during the infancy of the bands career while they were playing as the detours around mid1962 sandom a bricklayer joined as drummer however while the other members of the group were in their late teens sandom was already in his early thirties and the difference in age eventually made him something of an outcast in the group his wife also objected to him staying out at all hours of the nightin february 1964 it was discovered that another band was also called the detours on valentines day 1964 they changed their name to the whowhen the band secured but failed an audition with fontana records in early 1964 the labels producer chris parmeinter didnt like sandoms drumming encouraged by then manager helmut gordon the bands guitarist pete townshend voiced a similar opinion and suggested to the other members of the band john entwistle and roger daltrey that sandom leave the group sandom gave a months notice and left in aprilwithin a month of sandoms departure keith moon was hired after he had approached the band at one of their gigs and told them he could play better than the session drummer they had hired to fill the vacancy left by sandom moon smashed the session players drum kit to pieces during his interview in the interval that night no recordings are in circulation with sandom playing with the band however there was a recording made in barry greys flat featuring two townshend original songs and a cover the whereabouts of this tape are currently unknown on his departure from the group sandom said i wasnt so ambitious as the rest of them id done it longer than what they had of course i loved it it was very nice to be part of a band that people followed it was great but i didnt get on well with peter townshend i was a few years older than he was and he thought i should pack it in more or less because of that i thought i was doing all right with the band we never got slung out of nowhere we always passed our auditionssandom was hurt by townshends comments that he should leave a few months earlier the who had failed an audition because pete townshend was gangly noisy and ugly and it was sandom who had defended townshend according to townshends book who i am nevertheless sandom did step down since learning of what sandom did for him townshend has said that he regrets the whole incident and that he looked upon sandom as a mentor and friend
